tweet_id,timestamp,text,name,numerator,denominator,dog_stage,rating_ratio,dog_breed50,dog_breed60,dog_breed70,dog_breed80,dog_breed90,favorite_count,retweet_count
892420643555336193,2017-08-01 16:23:56+00:00,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,Phineas,13.0,10.0,None,1.3,None,None,None,None,None,37168.0,7950.0
892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",Tilly,13.0,10.0,None,1.3,None,None,None,None,None,31968.0,5905.0
891815181378084864,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,Archie,12.0,10.0,None,1.2,chihuahua,chihuahua,chihuahua,None,None,24076.0,3904.0
891689557279858688,2017-07-30 15:58:51+00:00,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,Darla,13.0,10.0,None,1.3,None,None,None,None,None,40484.0,8097.0
891327558926688256,2017-07-29 16:00:24+00:00,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",Franklin,12.0,10.0,None,1.2,basset,None,None,None,None,38713.0,8788.0
891087950875897856,2017-07-29 00:08:17+00:00,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,None,13.0,10.0,None,1.3,None,None,None,None,None,19462.0,2919.0
890971913173991426,2017-07-28 16:27:12+00:00,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

 ",Jax,13.0,10.0,None,1.3,None,None,None,None,None,11355.0,1940.0
890729181411237888,2017-07-28 00:22:40+00:00,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,None,13.0,10.0,None,1.3,pomeranian,None,None,None,None,62687.0,17722.0
890609185150312448,2017-07-27 16:25:51+00:00,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,Zoey,13.0,10.0,None,1.3,None,None,None,None,None,26773.0,4022.0
890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,Cassie,14.0,10.0,doggo,1.4,pembroke,None,None,None,None,30669.0,6918.0
